Measure Names,Municipio,Measure Values
[Cajeros Automáticos Total]/[Básicos Densidad poblacional (ha...,Meoqui,"1,818.181818182"
[Cajeros Automáticos Total]/[Básicos Superficie (km2)] *1000,Meoqui,44.268406337
Sucursales Total,Meoqui,9
[Sucursales Total]/ [Población*] *10000,Meoqui,2.006554746
Corresponsales Máximos,Meoqui,18
[Corresponsales Máximos]/[Población*]*10000,Meoqui,4.013109491
Terminales punto de venta Banca múltiple,Meoqui,451
Terminales punto de venta Agregadores,Meoqui,521
Terminales punto de venta Total,Meoqui,"1,423"
Terminales punto de venta Total sin agregadores,Meoqui,451
Créditos Banca de desarrollo,Meoqui,33
Créditos Banca múltiple,Meoqui,"17,785"
Créditos SOCAP,Meoqui,"4,902"
Créditos SOFIPO,Meoqui,21
Cuentas Banca de desarrollo,Meoqui,0
Cuentas Banca múltiple,Meoqui,"24,499"
Cuentas SOCAP,Meoqui,"20,751"
Cuentas SOFIPO,Meoqui,214
Medios de pago - transacciones en TPV Banca de desarrollo,Meoqui,0
Medios de pago - transacciones en TPV Banca múltiple,Meoqui,"65,222"
Medios de pago - transacciones en TPV SOCAP,Meoqui,0
Medios de pago - transacciones en TPV SOFIPO,Meoqui,0
Básicos Densidad poblacional (hab/km2),Camargo,3.6
Básicos Población,Camargo,"49,499"
Escolaridad Básica,Camargo,0.572
Escolaridad Media superior,Camargo,0.235
Escolaridad Sin escolaridad,Camargo,0.029
Escolaridad Superior,Camargo,0.161
PEA Hombres,Camargo,0.602
PEA Mujeres,Camargo,0.398
PEA Población Económicamente Activa,Camargo,0.613
PEA Población no económicamente activa,Camargo,0.384
TIC Computadora,Camargo,0.343
TIC Internet,Camargo,0.476
TIC Línea telefónica fija,Camargo,0.344
TIC Televisión de paga,Camargo,0.527
TIC Teléfono celular,Camargo,0.913
Créditos Total,Camargo,"28,546"
Cuentas Total,Camargo,"50,720"
[Cuentas Total]/[Población*],Camargo,1.024667165
Medios de pago - transacciones en TPV Total,Camargo,"67,757"
Remesas Ingreso por remesas por persona,Camargo,811
Remesas Millones de dólares,Camargo,401
Cajeros Automáticos Total,Camargo,26
[Cajeros Automáticos Total]/[Población*] * 1000,Camargo,0.525263137
[Cajeros Automáticos Total]/[Básicos Densidad poblacional (ha...,Camargo,"72,222.222222222"
[Cajeros Automáticos Total]/[Básicos Superficie (km2)] *1000,Camargo,1.891321743
Sucursales Total,Camargo,10
[Sucursales Total]/ [Población*] *10000,Camargo,2.020242833
Corresponsales Máximos,Camargo,24
[Corresponsales Máximos]/[Población*]*10000,Camargo,4.848582800
Terminales punto de venta Banca múltiple,Camargo,552
Terminales punto de venta Agregadores,Camargo,754
Terminales punto de venta Total,Camargo,"1,858"
Terminales punto de venta Total sin agregadores,Camargo,552
Créditos Banca de desarrollo,Camargo,82
Créditos Banca múltiple,Camargo,"25,169"
Créditos SOCAP,Camargo,"3,286"
Créditos SOFIPO,Camargo,9
Cuentas Banca de desarrollo,Camargo,0
Cuentas Banca múltiple,Camargo,"35,880"
Cuentas SOCAP,Camargo,"14,316"
Cuentas SOFIPO,Camargo,524
Medios de pago - transacciones en TPV Banca de desarrollo,Camargo,0
Medios de pago - transacciones en TPV Banca múltiple,Camargo,"67,757"
Medios de pago - transacciones en TPV SOCAP,Camargo,0
Medios de pago - transacciones en TPV SOFIPO,Camargo,0
Básicos Densidad poblacional (hab/km2),Julimes,1.2
Básicos Población,Julimes,"4,980"
Escolaridad Básica,Julimes,0.707
Escolaridad Media superior,Julimes,0.203
Escolaridad Sin escolaridad,Julimes,0.026
Escolaridad Superior,Julimes,0.061
PEA Hombres,Julimes,0.68
PEA Mujeres,Julimes,0.32
PEA Población Económicamente Activa,Julimes,0.575
PEA Población no económicamente activa,Julimes,0.425
TIC Computadora,Julimes,0.225
TIC Internet,Julimes,0.265
TIC Línea telefónica fija,Julimes,0.1
TIC Televisión de paga,Julimes,0.486
TIC Teléfono celular,Julimes,0.915
Créditos Total,Julimes,"1,700"
Cuentas Total,Julimes,"4,857"
[Cuentas Total]/[Población*],Julimes,0.975301205
Medios de pago - transacciones en TPV Total,Julimes,"2,330"
Remesas Ingreso por remesas por persona,Julimes,559
Remesas Millones de dólares,Julimes,28
Cajeros Automáticos Total,Julimes,0
[Cajeros Automáticos Total]/[Población*] * 1000,Julimes,0
[Cajeros Automáticos Total]/[Básicos Densidad poblacional (ha...,Julimes,0
[Cajeros Automáticos Total]/[Básicos Superficie (km2)] *1000,Julimes,0
Sucursales Total,Julimes,2
[Sucursales Total]/ [Población*] *10000,Julimes,4.016064257
Corresponsales Máximos,Julimes,0
[Corresponsales Máximos]/[Población*]*10000,Julimes,0
Terminales punto de venta Banca múltiple,Julimes,17
Terminales punto de venta Agregadores,Julimes,29
Terminales punto de venta Total,Julimes,63
Terminales punto de venta Total sin agregadores,Julimes,17
Créditos Banca de desarrollo,Julimes,0
Créditos Banca múltiple,Julimes,977
Créditos SOCAP,Julimes,723
Créditos SOFIPO,Julimes,0
Cuentas Banca de desarrollo,Julimes,0
Cuentas Banca múltiple,Julimes,574
Cuentas SOCAP,Julimes,"4,255"
Cuentas SOFIPO,Julimes,28
Medios de pago - transacciones en TPV Banca de desarrollo,Julimes,0
Medios de pago - transacciones en TPV Banca múltiple,Julimes,"2,330"
Medios de pago - transacciones en TPV SOCAP,Julimes,0
Medios de pago - transacciones en TPV SOFIPO,Julimes,0
Básicos Densidad poblacional (hab/km2),Rosales,8.7
Básicos Población,Rosales,"16,776"
Escolaridad Básica,Rosales,0.652
Escolaridad Media superior,Rosales,0.206
Escolaridad Sin escolaridad,Rosales,0.045
Escolaridad Superior,Rosales,0.096
PEA Hombres,Rosales,0.64
PEA Mujeres,Rosales,0.36
PEA Población Económicamente Activa,Rosales,0.579
PEA Población no económicamente activa,Rosales,0.419
TIC Computadora,Rosales,0.29
TIC Internet,Rosales,0.406
TIC Línea telefónica fija,Rosales,0.162
TIC Televisión de paga,Rosales,0.467
TIC Teléfono celular,Rosales,0.922
Créditos Total,Rosales,"6,746"
Cuentas Total,Rosales,"10,181"
[Cuentas Total]/[Población*],Rosales,0.606878875
Medios de pago - transacciones en TPV Total,Rosales,"2,614"
Remesas Ingreso por remesas por persona,Rosales,111
Remesas Millones de dólares,Rosales,19
Cajeros Automáticos Total,Rosales,3
[Cajeros Automáticos Total]/[Población*] * 1000,Rosales,0.178826896
[Cajeros Automáticos Total]/[Básicos Densidad poblacional (ha...,Rosales,"3,448.275862069"
[Cajeros Automáticos Total]/[Básicos Superficie (km2)] *1000,Rosales,1.556985676
Sucursales Total,Rosales,2
[Sucursales Total]/ [Población*] *10000,Rosales,1.192179304
Corresponsales Máximos,Rosales,0
[Corresponsales Máximos]/[Población*]*10000,Rosales,0
Terminales punto de venta Banca múltiple,Rosales,62
Terminales punto de venta Agregadores,Rosales,92
Terminales punto de venta Total,Rosales,216
Terminales punto de venta Total sin agregadores,Rosales,62
Créditos Banca de desarrollo,Rosales,25
Créditos Banca múltiple,Rosales,"4,243"
Créditos SOCAP,Rosales,"2,474"
Créditos SOFIPO,Rosales,4
Cuentas Banca de desarrollo,Rosales,0
Cuentas Banca múltiple,Rosales,920
Cuentas SOCAP,Rosales,"9,175"
Cuentas SOFIPO,Rosales,86
Medios de pago - transacciones en TPV Banca de desarrollo,Rosales,0
Medios de pago - transacciones en TPV Banca múltiple,Rosales,"2,614"
Medios de pago - transacciones en TPV SOCAP,Rosales,0
Medios de pago - transacciones en TPV SOFIPO,Rosales,0
Básicos Densidad poblacional (hab/km2),Saucillo,9.8
Básicos Población,Saucillo,"29,862"
Escolaridad Básica,Saucillo,0.621
Escolaridad Media superior,Saucillo,0.219
Escolaridad Sin escolaridad,Saucillo,0.031
Escolaridad Superior,Saucillo,0.125
PEA Hombres,Saucillo,0.649
PEA Mujeres,Saucillo,0.351
PEA Población Económicamente Activa,Saucillo,0.528
PEA Población no económicamente activa,Saucillo,0.469
TIC Computadora,Saucillo,0.319
TIC Internet,Saucillo,0.429
TIC Línea telefónica fija,Saucillo,0.217
TIC Televisión de paga,Saucillo,0.676
TIC Teléfono celular,Saucillo,0.921
Créditos Total,Saucillo,"16,392"
Cuentas Total,Saucillo,"28,941"
[Cuentas Total]/[Población*],Saucillo,0.969158127
Medios de pago - transacciones en TPV Total,Saucillo,"31,885"
Remesas Ingreso por remesas por persona,Saucillo,755
Remesas Millones de dólares,Saucillo,225
Cajeros Automáticos Total,Saucillo,11
[Cajeros Automáticos Total]/[Población*] * 1000,Saucillo,0.368361128
[Cajeros Automáticos Total]/[Básicos Densidad poblacional (ha...,Saucillo,"11,224.489795918"
[Cajeros Automáticos Total]/[Básicos Superficie (km2)] *1000,Saucillo,3.618778169
Sucursales Total,Saucillo,6
[Sucursales Total]/ [Población*] *10000,Saucillo,2.009242516
Corresponsales Máximos,Saucillo,9
[Corresponsales Máximos]/[Población*]*10000,Saucillo,3.013863773
Terminales punto de venta Banca múltiple,Saucillo,158
Terminales punto de venta Agregadores,Saucillo,208
Terminales punto de venta Total,Saucillo,528
Terminales punto de venta Total sin agregadores,Saucillo,160
Créditos Banca de desarrollo,Saucillo,"1,335"
Créditos Banca múltiple,Saucillo,"10,035"
Créditos SOCAP,Saucillo,"5,011"
Créditos SOFIPO,Saucillo,11
Cuentas Banca de desarrollo,Saucillo,"2,431"
Cuentas Banca múltiple,Saucillo,"7,633"
Cuentas SOCAP,Saucillo,"18,447"
Cuentas SOFIPO,Saucillo,430
Medios de pago - transacciones en TPV Banca de desarrollo,Saucillo,"1,242"
Medios de pago - transacciones en TPV Banca múltiple,Saucillo,"30,643"
Medios de pago - transacciones en TPV SOCAP,Saucillo,0
Medios de pago - transacciones en TPV SOFIPO,Saucillo,0
